date,open,high,low,close,volume
11/20/91,14.4918,14.5471,14.2483,14.2677,5392800
11/21/91,14.2109,14.4544,14.2109,14.2483,6108000
11/22/91,14.2483,14.3424,14.1362,14.1556,5471200
11/25/91,14.193,14.2856,14.1362,14.2109,4254000
11/26/91,14.2856,14.6591,14.1362,14.6218,7790800
11/27/91,14.435,14.5097,14.0615,14.0809,7215600
11/29/91,14.0242,14.0242,13.8001,13.8195,6569600
12/2/91,13.6133,13.8001,13.5386,13.7821,9391200
12/3/91,13.7074,13.7627,13.5954,13.6327,6254400
12/4/91,13.6507,13.6701,13.446,13.446,9360000
12/5/91,13.4639,13.6133,13.4639,13.4833,7571200
12/6/91,13.446,13.4833,13.2966,13.2966,10786400
12/9/91,13.3519,13.4086,12.6422,12.7169,15580400
12/10/91,12.7543,12.9231,12.4749,12.8857,20028000
12/11/91,12.9978,13.1278,12.7916,13.1098,10360800
12/12/91,13.2219,13.3339,13.1472,13.2398,8372400
12/13/91,13.2592,13.2772,13.0351,13.1472,7117200
12/16/91,13.1098,13.1472,12.9604,12.9784,5168400
12/17/91,12.9604,12.9978,12.7363,12.7737,5928000
12/18/91,12.7737,12.9784,12.6796,12.8857,7624000
12/19/91,12.7916,12.829,12.6243,12.6796,7609600
12/20/91,12.8484,12.8857,12.699,12.811,12893200
12/23/91,12.829,13.2219,12.7737,13.1845,9367200
12/24/91,13.1845,13.446,13.1278,13.1845,6876800
12/26/91,13.1845,13.2772,13.0725,13.1845,4915200
12/27/91,13.2025,13.3892,13.2025,13.3519,6164000
12/30/91,13.4086,13.558,13.3145,13.5013,7784800
12/31/91,13.4639,13.6133,13.2772,13.2966,7626000
1/2/92,13.2966,13.5386,13.2772,13.4833,7123600
1/3/92,13.4833,13.6133,13.446,13.5013,5802400
1/6/92,13.5954,13.9121,13.576,13.7821,8794000
1/7/92,13.7448,14.1556,13.7254,14.1362,7892000
1/8/92,14.0436,14.193,13.7821,13.8001,10063600
1/9/92,13.8374,14.0809,13.6327,13.6327,8160400
1/10/92,13.6507,13.8195,13.5386,13.576,6446000
1/13/92,13.558,13.576,13.4086,13.4833,5333200
1/14/92,13.5013,13.8195,13.4833,13.8001,5353600
1/15/92,14.0436,14.305,13.9689,14.2483,12415600
1/16/92,14.2109,14.5097,14.193,14.2677,9012800
1/17/92,14.193,14.6591,13.8374,14.3977,14328000
1/20/92,14.3797,14.3977,14.2303,14.2303,4839600
1/21/92,14.2303,14.2677,13.8748,13.8748,5705600
1/22/92,13.8748,14.2856,13.8748,14.2856,5093600
1/23/92,14.2677,14.323,13.9315,13.9689,5356800
1/24/92,13.9868,14.0809,13.9121,13.9121,4221200
1/27/92,13.9689,14.0436,13.9495,14.0062,2872000
1/28/92,14.0242,14.0436,13.8748,13.9315,3914000
1/29/92,13.8568,14.0615,13.688,13.7254,5754400
1/30/92,13.7627,13.8195,13.6507,13.7074,4190400
1/31/92,13.7254,13.7448,13.446,13.446,5962000
2/3/92,13.446,13.6507,13.3339,13.6507,6077200
2/4/92,13.6133,13.7821,13.446,13.7821,6010400
2/5/92,13.7074,13.7627,13.5954,13.6327,6530000
2/6/92,13.6831,13.7588,13.5695,13.6073,5606800
2/7/92,13.627,13.6831,13.4181,13.5135,6896800
2/10/92,13.5695,13.6073,13.4938,13.5892,3783200
2/11/92,13.5892,13.7588,13.5892,13.6649,4522800
2/12/92,13.7027,13.9859,13.6073,13.948,6326000
2/13/92,14.0434,14.1191,13.6452,13.7406,7816000
2/14/92,13.7027,13.7966,13.5513,13.5892,5180400
2/18/92,13.627,13.7966,13.4938,13.5695,5258000
2/19/92,13.627,13.7406,13.5316,13.5695,4593600
2/20/92,13.5892,13.7209,13.4938,13.5892,5452800
2/21/92,13.5892,13.6831,13.5135,13.6073,5784400
2/24/92,13.6073,13.6649,13.4378,13.5316,4226000
2/25/92,13.5135,13.5135,13.3424,13.3621,6319200
2/26/92,13.3802,13.4181,13.2667,13.3621,6221200
2/27/92,13.3242,13.3802,13.2485,13.2864,5926400
2/28/92,13.3802,13.4181,13.1153,13.1531,6988800
3/2/92,13.1531,13.2864,13.0592,13.2485,5765600
3/3/92,13.2667,13.4181,13.191,13.3621,6309200
3/4/92,13.3621,13.5695,13.2288,13.2288,7210000
3/5/92,13.1349,13.3424,13.0971,13.1153,6630800
3/6/92,13.1349,13.2106,13.0214,13.0774,7251200
3/9/92,13.0774,13.2288,12.8881,13.2288,6315200
3/10/92,13.2864,13.3802,13.2485,13.3045,5055200
3/11/92,13.3045,13.3802,13.191,13.2864,4870400
3/12/92,13.2667,13.4938,13.2667,13.4938,5398800
3/13/92,13.6649,13.6649,13.4938,13.5695,5373600
3/16/92,13.5135,13.5695,13.3621,13.4378,3903200
3/17/92,13.4378,13.4559,13.2288,13.2667,5886800
3/18/92,13.2288,13.3999,13.2106,13.2485,4292400
3/19/92,13.0017,13.191,12.9638,13.0017,7691600
3/20/92,13.0017,13.1153,12.9835,13.0396,7849600
3/23/92,13.0214,13.1349,12.9638,12.9638,4996000
3/24/92,12.9835,13.0214,12.87,12.9078,7334000
3/25/92,12.8881,13.0214,12.8321,12.8881,5261200
3/26/92,12.926,12.926,12.7367,12.7367,6360400
3/27/92,12.7186,12.7746,12.5853,12.605,8572400
3/30/92,12.6232,12.6989,12.5853,12.6232,5402000
3/31/92,12.6232,12.8503,12.6232,12.6429,6479200
4/1/92,12.6429,12.6429,12.5293,12.5475,7874400
4/2/92,12.605,12.6429,12.3961,12.4536,8291200
4/3/92,12.4339,12.4718,12.3779,12.3779,6910000
4/6/92,12.4157,12.5853,12.3582,12.5853,5685200
4/7/92,12.6232,12.8503,12.4536,12.4718,7705600
4/8/92,12.5096,12.87,12.5096,12.8503,12080400
4/9/92,12.926,13.0017,12.8124,12.8881,9102400
4/10/92,12.9638,13.0396,12.7943,13.0214,8211600
4/13/92,13.0396,13.2485,13.0017,13.2485,6849200
4/14/92,13.5513,13.5892,13.3242,13.3621,13266400
4/15/92,13.4378,13.4559,13.2667,13.3999,8862400
4/16/92,13.3999,13.4181,13.2485,13.4181,8252400
4/20/92,13.3999,13.5892,13.3621,13.5513,7171200
4/21/92,13.5695,13.6649,13.5513,13.627,8468800
4/22/92,13.6073,13.6452,13.5695,13.6452,5299600
4/23/92,13.627,13.7209,13.4756,13.5135,5901600
4/24/92,13.4938,13.5135,13.3424,13.3424,3972400
4/27/92,13.3045,13.4378,13.2864,13.3424,4003600
4/28/92,13.3424,13.3999,13.2288,13.3999,4435600
4/29/92,13.4559,13.4559,13.2864,13.3424,5074400
4/30/92,13.3999,13.7406,13.3621,13.7406,6727600
5/1/92,13.8163,13.948,13.6831,13.7209,8297600
5/4/92,14.0056,14.0813,13.948,14.0056,9364800
5/5/92,14.0056,14.2327,13.9859,14.213,8179600
5/6/92,14.2327,14.2508,14.0994,14.1373,8116400
5/7/92,14.2247,14.4348,14.2247,14.378,7582800
5/8/92,14.4348,14.4547,14.2814,14.2814,5698800
5/11/92,14.3397,14.4731,14.3198,14.3964,6591200
5/12/92,14.378,14.3964,14.263,14.3397,5132000
5/13/92,14.3397,14.3581,14.1664,14.1664,5552800
5/14/92,14.128,14.148,13.9563,14.0713,5878000
5/15/92,14.013,14.128,13.9747,14.0514,6408400
5/18/92,14.0514,14.0897,13.8796,13.9179,4679600
5/19/92,13.9363,14.1863,13.898,14.1863,4916000
5/20/92,14.1664,14.2247,14.033,14.0514,4626000
5/21/92,14.013,14.0514,13.898,14.033,3735600
5/22/92,14.033,14.148,13.9946,14.0713,3357600
5/26/92,13.9946,14.033,13.8597,13.8796,3876400
5/27/92,13.8597,13.9563,13.8213,13.9363,3630000
5/28/92,13.9363,14.033,13.8597,13.9747,3252000
5/29/92,14.013,14.1096,13.9179,13.9179,4138800
6/1/92,13.8796,13.9946,13.8213,13.898,4687200
6/2/92,13.898,13.9563,13.8597,13.898,4106400
6/3/92,13.898,13.9179,13.7646,13.7646,4516400
6/4/92,13.7446,13.7646,13.6296,13.6495,4184000
6/5/92,13.5913,13.9179,13.5345,13.8597,6172800
6/8/92,13.8597,13.9946,13.8597,13.9563,3882400
6/9/92,13.9563,13.9563,13.8597,13.898,3520400
6/10/92,13.8796,13.9747,13.8213,13.8213,7176400
6/11/92,13.8796,14.128,13.8597,14.1096,7861600
6/12/92,14.1863,14.3964,14.148,14.263,11170400
6/15/92,14.1863,14.4348,14.1863,14.4348,7490800
6/16/92,14.4164,14.4164,14.2431,14.2814,6823200
6/17/92,14.2431,14.3964,14.128,14.2047,7372800
6/18/92,14.3198,14.7032,14.2814,14.4931,12766800
6/19/92,14.5697,14.6464,14.5314,14.5697,9402000
6/22/92,14.5314,14.6265,14.5115,14.6081,7436800
6/23/92,14.6464,14.7798,14.6081,14.7032,8334400
6/24/92,14.7798,15.0099,14.7614,14.9716,8484400
6/25/92,14.9716,15.0682,14.8182,14.8949,7344000
6/26/92,14.8381,14.9332,14.7998,14.9148,4185600
6/29/92,15.0099,15.1249,14.9915,15.1249,5179600
6/30/92,15.1249,15.1249,14.9915,15.0099,4276000
7/1/92,15.0099,15.1065,14.9915,15.0682,6107600
7/2/92,15.0682,15.0682,14.8565,14.8565,5085200
7/6/92,14.8949,15.0682,14.8765,15.0482,4594800
7/7/92,15.0482,15.1449,14.8182,14.8381,5414400
7/8/92,14.8381,15.0099,14.8381,15.0099,5013200
7/9/92,14.9915,15.0866,14.9532,14.9532,4561600
7/10/92,14.9915,15.0099,14.7998,14.9716,3664400
7/13/92,15.0298,15.1633,14.9716,15.0099,4772800
7/14/92,15.0099,15.0866,14.9532,15.0099,3684000
7/15/92,15.0298,15.2399,15.0298,15.2215,8332000
7/16/92,15.1832,15.3933,15.1832,15.3749,10243600
7/17/92,14.8765,14.9332,14.5115,14.5697,23750000
7/20/92,14.3013,14.3198,14.2247,14.2431,11625200
7/21/92,14.2814,14.4547,14.2431,14.378,7960400
7/22/92,14.3397,14.4164,14.1863,14.1863,6144400
7/23/92,14.2247,14.3013,14.2047,14.2247,4278400
7/24/92,14.2047,14.3581,14.1664,14.2247,6149200
7/27/92,14.2247,14.3013,14.1664,14.1664,3493200
7/28/92,14.2047,14.4164,14.1664,14.378,4620400
7/29/92,14.5115,14.5498,14.4547,14.4731,6348800
7/30/92,14.4731,14.6464,14.4731,14.6265,4461200
7/31/92,14.5498,14.5881,14.4931,14.5314,3285600
8/3/92,14.4931,14.6081,14.4731,14.5498,2655600
8/4/92,14.5314,14.5498,14.4547,14.4547,2539200
8/5/92,14.2047,14.263,14.013,14.0514,10568800
8/6/92,13.9922,14.0108,13.6999,13.7201,13726800
8/7/92,13.7387,13.7776,13.4667,13.5444,11211200
8/10/92,13.5646,13.7978,13.5646,13.759,6414000
8/11/92,13.7387,13.7776,13.6424,13.6812,5900400
8/12/92,13.6999,13.8367,13.6812,13.7387,5770000
8/13/92,13.7776,13.8553,13.661,13.6999,5375600
8/14/92,13.7387,13.7978,13.7201,13.7387,3994400
8/17/92,13.8165,13.8553,13.759,13.7776,2919600
8/18/92,13.7776,13.7776,13.661,13.6812,3312800
8/19/92,13.7201,13.759,13.448,13.4667,5366400
8/20/92,13.4667,13.5055,13.2926,13.3501,5785200
8/21/92,13.4278,13.448,13.3314,13.3703,7381200
8/24/92,13.3112,13.4092,13.2148,13.2335,5701600
8/25/92,13.2723,13.5444,13.2537,13.5444,7609600
8/26/92,13.5258,13.5444,13.4092,13.4278,3236400
8/27/92,13.4869,13.5833,13.4278,13.5833,4705200
8/28/92,13.5833,13.5833,13.4667,13.5646,3150800
8/31/92,13.6035,13.6035,13.448,13.4667,3956000
9/1/92,13.4667,13.6221,13.448,13.6221,3857600
9/2/92,13.6035,13.6221,13.4869,13.6035,3192800
9/3/92,13.6424,13.6424,13.4667,13.4667,4713600
9/4/92,13.4092,13.4667,13.3501,13.3703,3150800
9/8/92,13.3501,13.4278,13.3501,13.3889,3048800
9/9/92,13.4092,13.5055,13.4092,13.5055,3424400
9/10/92,13.5258,13.6035,13.4667,13.6035,4386800
9/11/92,13.5646,13.7201,13.5444,13.6812,4110400
9/14/92,13.7776,13.7978,13.6999,13.7387,5339200
